player,score
"['agent_NhatMinh', 'agent_Chi', 'agent_Ann', 'agent_random']","[16, 14, 11, 2]"
"['agent_Ann', 'agent_Thu_Trang', 'agent_Chi', 'agent_NhatMinh']","[15, 12, 7, 5]"
"['agent_Ann', 'agent_TongMinh', 'agent_Chi', 'agent_NhatMinh']","[16, 16, 13, 13]"
"['agent_NhatMinh', 'agent_xung', 'agent_Ann', 'agent_Chi']","[17, 15, 13, 9]"
"['agent_Ann', 'agent_NhatMinh', 'agent_Chi', 'Dat']","[15, 6, 3, 2]"
"['longlee', 'agent_Ann', 'agent_NhatMinh', 'agent_Chi']","[15, 14, 14, 9]"
"['agent_Ann', 'agent_NhatMinh', 'phi', 'agent_Chi']","[19, 10, 4, 3]"
"['agent_NhatMinh', 'agent_Chi', 'agent_Ann', 'Trang9PM_1905']","[15, 12, 9, 4]"
"['agent_NhatMinh', 'agent_Ann', 'agent_Chi', 'Trangold']","[17, 14, 11, 8]"
"['agent_NhatMinh', 'Viet_Anh', 'agent_Ann', 'agent_Chi']","[15, 12, 10, 7]"
"['agent_Ann', 'agent_Chi', 'agent_Phong', 'agent_random']","[16, 15, 8, 4]"
"['agent_Ann', 'agent_Chi', 'agent_Phong', 'agent_Thu_Trang']","[15, 11, 10, 4]"
"['agent_Ann', 'agent_Phong', 'agent_TongMinh', 'agent_Chi']","[16, 9, 6, 0]"
"['agent_Chi', 'agent_Ann', 'agent_xung', 'agent_Phong']","[15, 11, 10, 9]"
"['agent_Ann', 'agent_Chi', 'Dat', 'agent_Phong']","[20, 13, 13, 11]"
"['agent_Chi', 'agent_Ann', 'agent_Phong', 'longlee']","[15, 14, 12, 4]"
"['agent_Ann', 'agent_Phong', 'agent_Chi', 'phi']","[16, 11, 7, 6]"
"['agent_Ann', 'agent_Phong', 'agent_Chi', 'Trang9PM_1905']","[16, 8, 4, 4]"
"['agent_Ann', 'agent_Phong', 'Trangold', 'agent_Chi']","[16, 12, 12, 8]"
"['agent_Chi', 'agent_Phong', 'agent_Ann', 'Viet_Anh']","[15, 11, 9, 7]"
"['agent_Ann', 'agent_Thu_Trang', 'agent_Chi', 'agent_random']","[16, 9, 6, 2]"
"['agent_Ann', 'agent_Chi', 'agent_TongMinh', 'agent_random']","[15, 14, 11, 3]"
"['agent_Ann', 'agent_random', 'agent_Chi', 'agent_xung']","[15, 3, 1, 0]"
"['agent_Ann', 'Dat', 'agent_Chi', 'agent_random']","[16, 12, 6, 3]"
"['agent_Ann', 'agent_Chi', 'longlee', 'agent_random']","[16, 8, 1, 0]"
"['agent_Ann', 'phi', 'agent_Chi', 'agent_random']","[16, 15, 13, 1]"
"['agent_Ann', 'Trang9PM_1905', 'agent_Chi', 'agent_random']","[15, 7, 1, 1]"
"['agent_Ann', 'agent_Chi', 'Trangold', 'agent_random']","[15, 11, 5, 1]"
"['agent_Chi', 'agent_Ann', 'Viet_Anh', 'agent_random']","[15, 14, 7, 1]"
"['agent_Ann', 'agent_Thu_Trang', 'agent_TongMinh', 'agent_Chi']","[15, 15, 5, 0]"
"['agent_Ann', 'agent_Thu_Trang', 'agent_xung', 'agent_Chi']","[19, 8, 2, 0]"
"['agent_Ann', 'agent_Chi', 'agent_Thu_Trang', 'Dat']","[16, 7, 5, 5]"
"['agent_Ann', 'agent_Thu_Trang', 'longlee', 'agent_Chi']","[15, 5, 2, 1]"
"['phi', 'agent_Thu_Trang', 'agent_Chi', 'agent_Ann']","[15, 13, 10, 7]"
"['agent_Ann', 'agent_Thu_Trang', 'Trang9PM_1905', 'agent_Chi']","[15, 13, 7, 2]"
"['agent_Ann', 'agent_Chi', 'Trangold', 'agent_Thu_Trang']","[18, 14, 14, 7]"
"['agent_Ann', 'agent_Thu_Trang', 'agent_Chi', 'Viet_Anh']","[15, 8, 6, 2]"
"['agent_Ann', 'agent_TongMinh', 'agent_xung', 'agent_Chi']","[15, 8, 7, 3]"
"['agent_Ann', 'agent_TongMinh', 'Dat', 'agent_Chi']","[15, 12, 10, 7]"
"['agent_Ann', 'agent_TongMinh', 'longlee', 'agent_Chi']","[19, 14, 10, 6]"
"['agent_Ann', 'agent_TongMinh', 'phi', 'agent_Chi']","[18, 14, 6, 2]"
"['agent_TongMinh', 'Trang9PM_1905', 'agent_Chi', 'agent_Ann']","[16, 12, 11, 5]"
"['agent_Ann', 'agent_TongMinh', 'agent_Chi', 'Trangold']","[18, 13, 8, 7]"
"['agent_TongMinh', 'agent_Ann', 'agent_Chi', 'Viet_Anh']","[15, 14, 12, 6]"
"['agent_Ann', 'agent_xung', 'Dat', 'agent_Chi']","[15, 7, 5, 2]"
"['agent_Ann', 'longlee', 'agent_Chi', 'agent_xung']","[16, 9, 7, 7]"
"['agent_Ann', 'agent_Chi', 'phi', 'agent_xung']","[17, 10, 7, 0]"
"['Trang9PM_1905', 'agent_Ann', 'agent_Chi', 'agent_xung']","[16, 9, 5, 5]"
"['agent_xung', 'Trangold', 'agent_Ann', 'agent_Chi']","[15, 7, 5, 5]"
"['agent_Ann', 'Viet_Anh', 'agent_Chi', 'agent_xung']","[15, 12, 10, 9]"
"['agent_Ann', 'Dat', 'longlee', 'agent_Chi']","[18, 7, 6, 1]"
"['Dat', 'agent_Ann', 'agent_Chi', 'phi']","[17, 14, 8, 6]"
"['Trang9PM_1905', 'agent_Ann', 'agent_Chi', 'Dat']","[15, 5, 1, 0]"
"['Trangold', 'agent_Ann', 'agent_Chi', 'Dat']","[15, 8, 8, 6]"
"['Viet_Anh', 'agent_Ann', 'Dat', 'agent_Chi']","[15, 7, 7, 6]"
"['phi', 'agent_Ann', 'longlee', 'agent_Chi']","[15, 10, 4, 3]"
