player,score
"['agent_HungThom', 'agent_NA', 'agent_MA', 'phi']","[17, 13, 10, 4]"
"['Trang9PM_1905', 'agent_MA', 'agent_NA', 'agent_HungThom']","[15, 13, 13, 7]"
"['agent_NA', 'Trangold', 'agent_MA', 'agent_HungThom']","[16, 14, 13, 7]"
"['agent_HungThom', 'agent_NA', 'agent_MA', 'Viet_Anh']","[15, 11, 9, 3]"
"['agent_HungThom', 'agent_Phong', 'agent_MA', 'agent_NhatMinh']","[18, 13, 12, 8]"
"['agent_MA', 'agent_HungThom', 'agent_NhatMinh', 'agent_random']","[15, 10, 3, 1]"
"['agent_HungThom', 'agent_MA', 'agent_Thu_Trang', 'agent_NhatMinh']","[15, 14, 11, 5]"
"['agent_MA', 'agent_HungThom', 'agent_NhatMinh', 'agent_TongMinh']","[17, 13, 5, 3]"
"['agent_MA', 'agent_NhatMinh', 'agent_HungThom', 'agent_xung']","[16, 10, 6, 3]"
"['agent_HungThom', 'agent_MA', 'agent_NhatMinh', 'Dat']","[16, 10, 10, 1]"
"['agent_HungThom', 'agent_MA', 'agent_NhatMinh', 'longlee']","[16, 8, 6, 2]"
"['phi', 'agent_HungThom', 'agent_MA', 'agent_NhatMinh']","[19, 13, 13, 11]"
"['agent_NhatMinh', 'agent_HungThom', 'Trang9PM_1905', 'agent_MA']","[18, 15, 12, 11]"
"['agent_MA', 'agent_HungThom', 'Trangold', 'agent_NhatMinh']","[16, 9, 8, 5]"
"['agent_MA', 'agent_NhatMinh', 'Viet_Anh', 'agent_HungThom']","[15, 9, 9, 2]"
"['agent_HungThom', 'agent_MA', 'agent_Phong', 'agent_random']","[18, 10, 10, 0]"
"['agent_HungThom', 'agent_MA', 'agent_Phong', 'agent_Thu_Trang']","[16, 13, 9, 3]"
"['agent_MA', 'agent_Phong', 'agent_TongMinh', 'agent_HungThom']","[15, 12, 11, 10]"
"['agent_Phong', 'agent_MA', 'agent_HungThom', 'agent_xung']","[15, 14, 13, 3]"
"['agent_HungThom', 'agent_MA', 'agent_Phong', 'Dat']","[15, 12, 10, 4]"
"['agent_HungThom', 'agent_MA', 'agent_Phong', 'longlee']","[16, 13, 13, 9]"
"['agent_MA', 'agent_HungThom', 'agent_Phong', 'phi']","[15, 7, 7, 5]"
"['agent_HungThom', 'Trang9PM_1905', 'agent_MA', 'agent_Phong']","[20, 13, 10, 9]"
"['agent_MA', 'agent_Phong', 'Trangold', 'agent_HungThom']","[15, 10, 7, 3]"
"['agent_HungThom', 'agent_Phong', 'agent_MA', 'Viet_Anh']","[19, 13, 7, 7]"
"['agent_HungThom', 'agent_MA', 'agent_Thu_Trang', 'agent_random']","[18, 6, 5, 2]"
"['agent_HungThom', 'agent_TongMinh', 'agent_MA', 'agent_random']","[15, 12, 9, 0]"
"['agent_HungThom', 'agent_MA', 'agent_xung', 'agent_random']","[16, 15, 6, 1]"
"['agent_HungThom', 'agent_MA', 'agent_random', 'Dat']","[17, 10, 3, 2]"
"['agent_HungThom', 'agent_MA', 'agent_random', 'longlee']","[16, 14, 5, 3]"
"['agent_MA', 'agent_HungThom', 'phi', 'agent_random']","[19, 13, 12, 7]"
"['agent_HungThom', 'agent_MA', 'Trang9PM_1905', 'agent_random']","[18, 7, 4, 3]"
"['Trangold', 'agent_MA', 'agent_HungThom', 'agent_random']","[16, 12, 11, 2]"
"['agent_MA', 'Viet_Anh', 'agent_HungThom', 'agent_random']","[15, 14, 10, 3]"
"['agent_HungThom', 'agent_Thu_Trang', 'agent_TongMinh', 'agent_MA']","[18, 10, 5, 4]"
"['agent_HungThom', 'agent_Thu_Trang', 'agent_MA', 'agent_xung']","[16, 12, 2, 2]"
"['agent_MA', 'agent_HungThom', 'agent_Thu_Trang', 'Dat']","[16, 8, 7, 6]"
"['agent_HungThom', 'agent_MA', 'agent_Thu_Trang', 'longlee']","[19, 13, 11, 8]"
"['agent_Thu_Trang', 'agent_MA', 'agent_HungThom', 'phi']","[16, 9, 8, 4]"
"['agent_MA', 'agent_Thu_Trang', 'Trang9PM_1905', 'agent_HungThom']","[18, 6, 4, 2]"
"['agent_HungThom', 'agent_MA', 'Trangold', 'agent_Thu_Trang']","[20, 14, 13, 12]"
"['agent_HungThom', 'agent_Thu_Trang', 'Viet_Anh', 'agent_MA']","[17, 13, 11, 10]"
"['agent_TongMinh', 'agent_xung', 'agent_MA', 'agent_HungThom']","[15, 6, 5, 4]"
"['agent_TongMinh', 'agent_MA', 'Dat', 'agent_HungThom']","[18, 8, 4, 3]"
"['agent_TongMinh', 'agent_MA', 'agent_HungThom', 'longlee']","[15, 12, 11, 8]"
"['agent_TongMinh', 'agent_HungThom', 'phi', 'agent_MA']","[16, 12, 7, 5]"
"['agent_TongMinh', 'agent_MA', 'Trang9PM_1905', 'agent_HungThom']","[15, 8, 5, 3]"
"['agent_TongMinh', 'agent_HungThom', 'agent_MA', 'Trangold']","[19, 13, 11, 7]"
"['agent_HungThom', 'agent_MA', 'agent_TongMinh', 'Viet_Anh']","[15, 13, 10, 7]"
"['Dat', 'agent_MA', 'agent_HungThom', 'agent_xung']","[15, 13, 12, 5]"
"['agent_HungThom', 'agent_MA', 'longlee', 'agent_xung']","[15, 10, 9, 5]"
"['agent_HungThom', 'agent_MA', 'agent_xung', 'phi']","[16, 12, 9, 8]"
"['agent_HungThom', 'agent_MA', 'agent_xung', 'Trang9PM_1905']","[22, 13, 10, 8]"
"['agent_HungThom', 'Trangold', 'agent_MA', 'agent_xung']","[17, 12, 10, 6]"
"['agent_HungThom', 'agent_xung', 'agent_MA', 'Viet_Anh']","[15, 12, 10, 10]"
"['Dat', 'agent_HungThom', 'agent_MA', 'longlee']","[17, 11, 11, 6]"
"['agent_HungThom', 'Dat', 'agent_MA', 'phi']","[16, 11, 9, 7]"
"['Trang9PM_1905', 'agent_MA', 'agent_HungThom', 'Dat']","[17, 5, 2, 0]"
"['Dat', 'agent_MA', 'agent_HungThom', 'Trangold']","[17, 15, 10, 9]"
"['agent_MA', 'agent_HungThom', 'Dat', 'Viet_Anh']","[15, 10, 9, 7]"
"['agent_MA', 'agent_HungThom', 'longlee', 'phi']","[15, 13, 8, 2]"
"['agent_HungThom', 'agent_MA', 'Trang9PM_1905', 'longlee']","[16, 14, 13, 2]"
"['agent_HungThom', 'agent_MA', 'Trangold', 'longlee']","[17, 12, 8, 3]"
"['Viet_Anh', 'agent_HungThom', 'agent_MA', 'longlee']","[18, 17, 13, 12]"
"['phi', 'Trang9PM_1905', 'agent_HungThom', 'agent_MA']","[19, 13, 10, 7]"
"['agent_HungThom', 'agent_MA', 'phi', 'Trangold']","[15, 9, 6, 5]"
"['agent_HungThom', 'phi', 'agent_MA', 'Viet_Anh']","[16, 9, 8, 8]"
"['agent_HungThom', 'Trang9PM_1905', 'Trangold', 'agent_MA']","[16, 14, 12, 8]"
"['agent_HungThom', 'Trang9PM_1905', 'agent_MA', 'Viet_Anh']","[16, 11, 9, 0]"
"['agent_HungThom', 'Trangold', 'agent_MA', 'Viet_Anh']","[16, 12, 11, 7]"
"['agent_HungThom', 'agent_Phong', 'agent_NA', 'agent_NhatMinh']","[22, 11, 7, 7]"
"['agent_HungThom', 'agent_NA', 'agent_NhatMinh', 'agent_random']","[17, 15, 8, 1]"
"['agent_NhatMinh', 'agent_HungThom', 'agent_Thu_Trang', 'agent_NA']","[16, 13, 13, 11]"
"['agent_TongMinh', 'agent_HungThom', 'agent_NhatMinh', 'agent_NA']","[15, 6, 6, 5]"
"['agent_NhatMinh', 'agent_NA', 'agent_HungThom', 'agent_xung']","[17, 11, 7, 7]"
"['agent_NA', 'agent_NhatMinh', 'agent_HungThom', 'Dat']","[15, 10, 7, 2]"
"['agent_NhatMinh', 'agent_HungThom', 'agent_NA', 'longlee']","[18, 12, 9, 7]"
"['agent_NhatMinh', 'agent_NA', 'agent_HungThom', 'phi']","[16, 13, 6, 5]"
"['agent_HungThom', 'agent_NA', 'agent_NhatMinh', 'Trang9PM_1905']","[15, 8, 6, 4]"
"['agent_NhatMinh', 'agent_NA', 'agent_HungThom', 'Trangold']","[17, 12, 8, 7]"
"['agent_NA', 'agent_NhatMinh', 'agent_HungThom', 'Viet_Anh']","[16, 10, 8, 1]"
"['agent_NA', 'agent_Phong', 'agent_HungThom', 'agent_random']","[16, 8, 1, 0]"
"['agent_NA', 'agent_Phong', 'agent_Thu_Trang', 'agent_HungThom']","[16, 11, 11, 5]"
"['agent_TongMinh', 'agent_Phong', 'agent_NA', 'agent_HungThom']","[15, 13, 12, 10]"
"['agent_NA', 'agent_HungThom', 'agent_Phong', 'agent_xung']","[15, 10, 10, 4]"
"['agent_NA', 'agent_HungThom', 'agent_Phong', 'Dat']","[16, 15, 13, 6]"
"['agent_HungThom', 'agent_NA', 'agent_Phong', 'longlee']","[17, 13, 7, 4]"
"['agent_NA', 'agent_Phong', 'agent_HungThom', 'phi']","[15, 15, 13, 8]"
"['agent_HungThom', 'Trang9PM_1905', 'agent_Phong', 'agent_NA']","[19, 14, 12, 10]"
"['agent_NA', 'agent_Phong', 'Trangold', 'agent_HungThom']","[15, 8, 8, 2]"
"['agent_NA', 'agent_Phong', 'agent_HungThom', 'Viet_Anh']","[16, 11, 8, 4]"
"['agent_HungThom', 'agent_NA', 'agent_Thu_Trang', 'agent_random']","[20, 11, 8, 4]"
"['agent_NA', 'agent_HungThom', 'agent_random', 'agent_TongMinh']","[15, 14, 9, 8]"
"['agent_xung', 'agent_HungThom', 'agent_NA', 'agent_random']","[15, 13, 13, 2]"
"['agent_HungThom', 'agent_NA', 'agent_random', 'Dat']","[16, 14, 10, 6]"
"['agent_HungThom', 'agent_NA', 'longlee', 'agent_random']","[20, 10, 7, 1]"
"['agent_HungThom', 'agent_NA', 'phi', 'agent_random']","[18, 13, 3, 1]"
"['agent_HungThom', 'agent_NA', 'Trang9PM_1905', 'agent_random']","[16, 10, 4, 2]"
"['agent_HungThom', 'Trangold', 'agent_NA', 'agent_random']","[16, 12, 11, 2]"
"['agent_NA', 'agent_HungThom', 'agent_random', 'Viet_Anh']","[15, 5, 4, 3]"
"['agent_TongMinh', 'agent_NA', 'agent_HungThom', 'agent_Thu_Trang']","[17, 13, 12, 11]"
"['agent_Thu_Trang', 'agent_NA', 'agent_HungThom', 'agent_xung']","[15, 9, 7, 5]"
"['agent_NA', 'agent_Thu_Trang', 'agent_HungThom', 'Dat']","[16, 13, 10, 3]"
"['agent_HungThom', 'agent_NA', 'agent_Thu_Trang', 'longlee']","[17, 15, 10, 7]"
"['agent_HungThom', 'agent_NA', 'agent_Thu_Trang', 'phi']","[16, 13, 13, 13]"
"['agent_Thu_Trang', 'agent_NA', 'agent_HungThom', 'Trang9PM_1905']","[15, 14, 11, 11]"
"['agent_HungThom', 'agent_NA', 'Trangold', 'agent_Thu_Trang']","[17, 10, 9, 7]"
"['agent_HungThom', 'agent_Thu_Trang', 'Viet_Anh', 'agent_NA']","[15, 13, 12, 11]"
"['agent_TongMinh', 'agent_NA', 'agent_xung', 'agent_HungThom']","[15, 11, 7, 6]"
"['agent_TongMinh', 'agent_HungThom', 'agent_NA', 'Dat']","[15, 13, 12, 1]"
"['agent_TongMinh', 'agent_NA', 'agent_HungThom', 'longlee']","[15, 14, 13, 10]"
"['agent_TongMinh', 'agent_NA', 'agent_HungThom', 'phi']","[18, 9, 4, 3]"
"['agent_TongMinh', 'agent_NA', 'Trang9PM_1905', 'agent_HungThom']","[21, 12, 9, 5]"
"['agent_HungThom', 'agent_NA', 'Trangold', 'agent_TongMinh']","[17, 15, 9, 6]"
"['Viet_Anh', 'agent_NA', 'agent_HungThom', 'agent_TongMinh']","[19, 15, 14, 10]"
"['agent_NA', 'agent_xung', 'agent_HungThom', 'Dat']","[15, 13, 8, 4]"
"['agent_xung', 'agent_NA', 'agent_HungThom', 'longlee']","[15, 10, 8, 4]"
"['agent_NA', 'agent_HungThom', 'agent_xung', 'phi']","[16, 11, 8, 5]"
"['agent_HungThom', 'agent_NA', 'agent_xung', 'Trang9PM_1905']","[15, 10, 4, 4]"
"['agent_NA', 'Trangold', 'agent_HungThom', 'agent_xung']","[15, 14, 10, 7]"
"['agent_NA', 'agent_HungThom', 'Viet_Anh', 'agent_xung']","[16, 8, 6, 3]"
"['Dat', 'agent_NA', 'agent_HungThom', 'longlee']","[17, 11, 8, 6]"
"['agent_NA', 'agent_HungThom', 'phi', 'Dat']","[15, 12, 9, 8]"
"['agent_HungThom', 'agent_NA', 'Trang9PM_1905', 'Dat']","[15, 14, 7, 5]"
"['agent_HungThom', 'agent_NA', 'Dat', 'Trangold']","[21, 15, 14, 11]"
"['agent_NA', 'agent_HungThom', 'Dat', 'Viet_Anh']","[15, 7, 3, 2]"
"['longlee', 'agent_HungThom', 'agent_NA', 'phi']","[15, 14, 14, 6]"
"['agent_HungThom', 'agent_NA', 'Trang9PM_1905', 'longlee']","[18, 8, 6, 3]"
"['agent_NA', 'longlee', 'Trangold', 'agent_HungThom']","[17, 10, 6, 2]"
"['agent_NA', 'longlee', 'agent_HungThom', 'Viet_Anh']","[15, 12, 11, 8]"
"['Trang9PM_1905', 'agent_HungThom', 'phi', 'agent_NA']","[15, 12, 12, 10]"
"['agent_NA', 'Trangold', 'agent_HungThom', 'phi']","[15, 7, 6, 6]"
"['phi', 'agent_NA', 'agent_HungThom', 'Viet_Anh']","[18, 13, 11, 7]"
"['agent_NA', 'agent_HungThom', 'Trang9PM_1905', 'Trangold']","[15, 14, 13, 6]"
"['agent_NA', 'agent_HungThom', 'Viet_Anh', 'Trang9PM_1905']","[15, 9, 8, 4]"
"['Trangold', 'agent_NA', 'Viet_Anh', 'agent_HungThom']","[15, 13, 13, 10]"
"['agent_HungThom', 'agent_NhatMinh', 'agent_Phong', 'agent_random']","[16, 12, 8, 3]"
"['agent_NhatMinh', 'agent_HungThom', 'agent_Phong', 'agent_Thu_Trang']","[16, 15, 14, 9]"
"['agent_NhatMinh', 'agent_HungThom', 'agent_Phong', 'agent_TongMinh']","[16, 14, 13, 13]"
"['agent_HungThom', 'agent_Phong', 'agent_xung', 'agent_NhatMinh']","[16, 9, 8, 7]"
"['agent_HungThom', 'agent_NhatMinh', 'agent_Phong', 'Dat']","[18, 12, 11, 8]"
"['agent_Phong', 'longlee', 'agent_HungThom', 'agent_NhatMinh']","[16, 16, 10, 10]"
"['phi', 'agent_HungThom', 'agent_Phong', 'agent_NhatMinh']","[16, 14, 10, 7]"
"['agent_HungThom', 'agent_Phong', 'Trang9PM_1905', 'agent_NhatMinh']","[15, 9, 8, 5]"
"['agent_NhatMinh', 'agent_Phong', 'Trangold', 'agent_HungThom']","[17, 13, 13, 12]"
"['agent_NhatMinh', 'agent_Phong', 'Viet_Anh', 'agent_HungThom']","[15, 13, 11, 7]"
"['agent_HungThom', 'agent_Thu_Trang', 'agent_NhatMinh', 'agent_random']","[16, 13, 4, 0]"
"['agent_NhatMinh', 'agent_HungThom', 'agent_TongMinh', 'agent_random']","[20, 11, 8, 5]"
"['agent_HungThom', 'agent_NhatMinh', 'agent_xung', 'agent_random']","[19, 12, 5, 4]"
"['agent_HungThom', 'agent_NhatMinh', 'agent_random', 'Dat']","[16, 9, 8, 2]"
"['agent_HungThom', 'agent_NhatMinh', 'longlee', 'agent_random']","[19, 12, 5, 1]"
"['agent_NhatMinh', 'agent_HungThom', 'phi', 'agent_random']","[16, 15, 7, 5]"
"['agent_NhatMinh', 'Trang9PM_1905', 'agent_HungThom', 'agent_random']","[17, 13, 6, 2]"
"['agent_HungThom', 'agent_NhatMinh', 'Trangold', 'agent_random']","[21, 14, 7, 2]"
"['Viet_Anh', 'agent_NhatMinh', 'agent_HungThom', 'agent_random']","[15, 14, 11, 3]"
"['agent_NhatMinh', 'agent_Thu_Trang', 'agent_TongMinh', 'agent_HungThom']","[16, 9, 6, 2]"
"['agent_xung', 'agent_HungThom', 'agent_NhatMinh', 'agent_Thu_Trang']","[18, 16, 10, 10]"
"['agent_NhatMinh', 'agent_Thu_Trang', 'agent_HungThom', 'Dat']","[16, 13, 11, 6]"
"['agent_HungThom', 'agent_NhatMinh', 'longlee', 'agent_Thu_Trang']","[15, 15, 10, 4]"
"['agent_HungThom', 'agent_Thu_Trang', 'agent_NhatMinh', 'phi']","[16, 8, 7, 7]"
"['agent_NhatMinh', 'Trang9PM_1905', 'agent_Thu_Trang', 'agent_HungThom']","[18, 14, 11, 10]"
"['agent_Thu_Trang', 'agent_NhatMinh', 'agent_HungThom', 'Trangold']","[18, 10, 3, 3]"
"['agent_HungThom', 'agent_Thu_Trang', 'agent_NhatMinh', 'Viet_Anh']","[18, 11, 10, 10]"
"['agent_NhatMinh', 'agent_HungThom', 'agent_TongMinh', 'agent_xung']","[16, 14, 13, 7]"
"['agent_NhatMinh', 'Dat', 'agent_TongMinh', 'agent_HungThom']","[17, 11, 10, 9]"
"['agent_HungThom', 'agent_NhatMinh', 'agent_TongMinh', 'longlee']","[15, 13, 13, 3]"
"['agent_TongMinh', 'agent_HungThom', 'agent_NhatMinh', 'phi']","[15, 13, 10, 9]"
"['agent_HungThom', 'agent_TongMinh', 'agent_NhatMinh', 'Trang9PM_1905']","[18, 15, 14, 13]"
"['Trangold', 'agent_NhatMinh', 'agent_TongMinh', 'agent_HungThom']","[16, 15, 8, 5]"
"['agent_HungThom', 'agent_NhatMinh', 'Viet_Anh', 'agent_TongMinh']","[16, 13, 10, 9]"
"['agent_NhatMinh', 'agent_xung', 'agent_HungThom', 'Dat']","[16, 14, 9, 8]"
"['agent_HungThom', 'agent_NhatMinh', 'agent_xung', 'longlee']","[18, 9, 8, 4]"
"['phi', 'agent_HungThom', 'agent_NhatMinh', 'agent_xung']","[15, 13, 9, 9]"
"['agent_HungThom', 'agent_xung', 'Trang9PM_1905', 'agent_NhatMinh']","[18, 15, 11, 7]"
"['agent_HungThom', 'agent_NhatMinh', 'agent_xung', 'Trangold']","[18, 10, 10, 5]"
"['agent_HungThom', 'agent_NhatMinh', 'Viet_Anh', 'agent_xung']","[19, 10, 10, 3]"
"['agent_HungThom', 'agent_NhatMinh', 'Dat', 'longlee']","[16, 11, 9, 6]"
"['agent_NhatMinh', 'phi', 'agent_HungThom', 'Dat']","[18, 15, 10, 5]"
"['agent_NhatMinh', 'agent_HungThom', 'Trang9PM_1905', 'Dat']","[19, 9, 9, 2]"
"['agent_NhatMinh', 'agent_HungThom', 'Trangold', 'Dat']","[18, 9, 8, 2]"
"['agent_NhatMinh', 'agent_HungThom', 'Viet_Anh', 'Dat']","[17, 11, 11, 8]"
"['longlee', 'agent_NhatMinh', 'agent_HungThom', 'phi']","[17, 15, 11, 6]"
"['agent_NhatMinh', 'Trang9PM_1905', 'agent_HungThom', 'longlee']","[18, 10, 8, 6]"
"['longlee', 'agent_HungThom', 'agent_NhatMinh', 'Trangold']","[15, 7, 7, 6]"
"['agent_HungThom', 'Viet_Anh', 'agent_NhatMinh', 'longlee']","[15, 14, 12, 7]"
"['phi', 'agent_NhatMinh', 'Trang9PM_1905', 'agent_HungThom']","[17, 14, 12, 11]"
"['Trangold', 'agent_HungThom', 'agent_NhatMinh', 'phi']","[15, 12, 11, 9]"
"['agent_HungThom', 'agent_NhatMinh', 'Viet_Anh', 'phi']","[21, 13, 11, 8]"
"['Trang9PM_1905', 'agent_NhatMinh', 'Trangold', 'agent_HungThom']","[15, 11, 5, 0]"
"['agent_NhatMinh', 'Trang9PM_1905', 'agent_HungThom', 'Viet_Anh']","[17, 12, 11, 9]"
"['Viet_Anh', 'agent_NhatMinh', 'Trangold', 'agent_HungThom']","[15, 14, 13, 9]"
"['agent_HungThom', 'agent_Phong', 'agent_Thu_Trang', 'agent_random']","[17, 14, 11, 4]"
"['agent_TongMinh', 'agent_Phong', 'agent_HungThom', 'agent_random']","[17, 9, 8, 2]"
"['agent_HungThom', 'agent_Phong', 'agent_xung', 'agent_random']","[17, 10, 7, 0]"
"['agent_HungThom', 'agent_Phong', 'agent_random', 'Dat']","[15, 7, 0, 0]"
"['agent_HungThom', 'longlee', 'agent_Phong', 'agent_random']","[20, 11, 10, 3]"
"['phi', 'agent_HungThom', 'agent_Phong', 'agent_random']","[15, 12, 10, 5]"
"['agent_HungThom', 'agent_Phong', 'Trang9PM_1905', 'agent_random']","[19, 12, 8, 1]"
"['Trangold', 'agent_HungThom', 'agent_Phong', 'agent_random']","[19, 13, 11, 2]"
"['agent_HungThom', 'agent_Phong', 'Viet_Anh', 'agent_random']","[17, 12, 12, 7]"
"['agent_TongMinh', 'agent_Thu_Trang', 'agent_HungThom', 'agent_Phong']","[15, 10, 9, 9]"
"['agent_HungThom', 'agent_Phong', 'agent_Thu_Trang', 'agent_xung']","[18, 12, 12, 7]"
"['agent_Phong', 'Dat', 'agent_HungThom', 'agent_Thu_Trang']","[16, 12, 7, 6]"
"['longlee', 'agent_HungThom', 'agent_Phong', 'agent_Thu_Trang']","[18, 15, 11, 9]"
"['agent_Thu_Trang', 'agent_HungThom', 'phi', 'agent_Phong']","[15, 12, 9, 8]"
"['agent_HungThom', 'agent_Thu_Trang', 'agent_Phong', 'Trang9PM_1905']","[16, 15, 6, 4]"
"['agent_Thu_Trang', 'agent_HungThom', 'agent_Phong', 'Trangold']","[15, 14, 8, 7]"
"['agent_Phong', 'agent_HungThom', 'agent_Thu_Trang', 'Viet_Anh']","[17, 10, 5, 1]"
"['agent_Phong', 'agent_TongMinh', 'agent_HungThom', 'agent_xung']","[16, 5, 4, 1]"
"['agent_TongMinh', 'agent_Phong', 'Dat', 'agent_HungThom']","[15, 12, 12, 9]"
"['agent_HungThom', 'agent_Phong', 'agent_TongMinh', 'longlee']","[16, 12, 9, 9]"
"['agent_TongMinh', 'agent_Phong', 'phi', 'agent_HungThom']","[17, 11, 11, 9]"
"['Trang9PM_1905', 'agent_Phong', 'agent_TongMinh', 'agent_HungThom']","[17, 10, 5, 4]"
"['agent_TongMinh', 'agent_Phong', 'Trangold', 'agent_HungThom']","[15, 13, 12, 6]"
"['Viet_Anh', 'agent_HungThom', 'agent_Phong', 'agent_TongMinh']","[16, 12, 11, 9]"
"['agent_HungThom', 'agent_Phong', 'Dat', 'agent_xung']","[20, 8, 5, 4]"
"['agent_Phong', 'agent_HungThom', 'agent_xung', 'longlee']","[17, 14, 14, 14]"
"['agent_xung', 'agent_Phong', 'phi', 'agent_HungThom']","[15, 12, 12, 7]"
"['agent_HungThom', 'Trang9PM_1905', 'agent_Phong', 'agent_xung']","[15, 12, 8, 6]"
"['agent_HungThom', 'Trangold', 'agent_Phong', 'agent_xung']","[16, 10, 9, 8]"
"['Viet_Anh', 'agent_Phong', 'agent_xung', 'agent_HungThom']","[16, 10, 7, 5]"
"['longlee', 'agent_HungThom', 'agent_Phong', 'Dat']","[16, 14, 7, 6]"
"['agent_HungThom', 'agent_Phong', 'Dat', 'phi']","[19, 11, 9, 9]"
"['Dat', 'agent_Phong', 'Trang9PM_1905', 'agent_HungThom']","[16, 15, 12, 10]"
"['Trangold', 'Dat', 'agent_Phong', 'agent_HungThom']","[16, 14, 10, 9]"
"['agent_HungThom', 'Dat', 'agent_Phong', 'Viet_Anh']","[17, 10, 9, 9]"
"['longlee', 'phi', 'agent_HungThom', 'agent_Phong']","[21, 15, 14, 12]"
"['agent_HungThom', 'Trang9PM_1905', 'agent_Phong', 'longlee']","[17, 11, 9, 3]"
"['agent_HungThom', 'longlee', 'agent_Phong', 'Trangold']","[15, 13, 11, 8]"
"['Viet_Anh', 'agent_HungThom', 'agent_Phong', 'longlee']","[15, 12, 9, 4]"
"['Trang9PM_1905', 'agent_HungThom', 'agent_Phong', 'phi']","[16, 9, 8, 1]"
"['agent_HungThom', 'agent_Phong', 'Trangold', 'phi']","[16, 10, 7, 4]"
"['phi', 'agent_HungThom', 'agent_Phong', 'Viet_Anh']","[18, 14, 10, 7]"
"['agent_HungThom', 'agent_Phong', 'Trang9PM_1905', 'Trangold']","[15, 13, 11, 5]"
"['agent_HungThom', 'Trang9PM_1905', 'agent_Phong', 'Viet_Anh']","[20, 13, 10, 0]"
"['agent_HungThom', 'Viet_Anh', 'Trangold', 'agent_Phong']","[15, 14, 11, 8]"
"['agent_TongMinh', 'agent_HungThom', 'agent_Thu_Trang', 'agent_random']","[15, 13, 8, 3]"
"['agent_HungThom', 'agent_Thu_Trang', 'agent_xung', 'agent_random']","[15, 12, 2, 0]"
"['agent_HungThom', 'agent_Thu_Trang', 'Dat', 'agent_random']","[17, 11, 6, 4]"
"['agent_HungThom', 'agent_Thu_Trang', 'longlee', 'agent_random']","[15, 13, 3, 1]"
"['agent_Thu_Trang', 'agent_HungThom', 'phi', 'agent_random']","[18, 6, 3, 1]"
"['Trang9PM_1905', 'agent_HungThom', 'agent_Thu_Trang', 'agent_random']","[17, 14, 13, 4]"
"['agent_HungThom', 'agent_Thu_Trang', 'Trangold', 'agent_random']","[17, 13, 10, 2]"
"['Viet_Anh', 'agent_Thu_Trang', 'agent_HungThom', 'agent_random']","[15, 9, 8, 1]"
"['agent_HungThom', 'agent_TongMinh', 'agent_xung', 'agent_random']","[15, 9, 9, 7]"
"['agent_HungThom', 'agent_TongMinh', 'Dat', 'agent_random']","[15, 8, 3, 2]"
"['agent_HungThom', 'agent_TongMinh', 'longlee', 'agent_random']","[16, 6, 5, 2]"
"['agent_HungThom', 'agent_TongMinh', 'phi', 'agent_random']","[18, 17, 7, 2]"
"['agent_TongMinh', 'Trang9PM_1905', 'agent_HungThom', 'agent_random']","[16, 10, 8, 2]"
"['Trangold', 'agent_HungThom', 'agent_TongMinh', 'agent_random']","[15, 12, 12, 6]"
"['agent_TongMinh', 'agent_HungThom', 'Viet_Anh', 'agent_random']","[16, 12, 12, 6]"
"['agent_HungThom', 'agent_xung', 'Dat', 'agent_random']","[16, 10, 5, 3]"
"['agent_HungThom', 'agent_xung', 'agent_random', 'longlee']","[15, 8, 6, 3]"
"['phi', 'agent_HungThom', 'agent_random', 'agent_xung']","[18, 13, 3, 0]"
"['agent_HungThom', 'agent_xung', 'Trang9PM_1905', 'agent_random']","[15, 12, 8, 3]"
"['agent_HungThom', 'agent_xung', 'Trangold', 'agent_random']","[15, 11, 11, 0]"
"['agent_HungThom', 'agent_xung', 'Viet_Anh', 'agent_random']","[15, 11, 3, 2]"
"['agent_HungThom', 'Dat', 'longlee', 'agent_random']","[20, 4, 4, 2]"
"['Dat', 'agent_HungThom', 'phi', 'agent_random']","[15, 13, 5, 2]"
"['Trang9PM_1905', 'agent_HungThom', 'Dat', 'agent_random']","[15, 13, 7, 3]"
"['agent_HungThom', 'Dat', 'Trangold', 'agent_random']","[18, 13, 10, 1]"
"['Viet_Anh', 'agent_HungThom', 'agent_random', 'Dat']","[15, 6, 1, 1]"
"['agent_HungThom', 'phi', 'longlee', 'agent_random']","[15, 10, 3, 2]"
"['agent_HungThom', 'Trang9PM_1905', 'agent_random', 'longlee']","[16, 12, 3, 1]"
"['agent_HungThom', 'Trangold', 'longlee', 'agent_random']","[19, 9, 8, 4]"
"['agent_HungThom', 'Viet_Anh', 'longlee', 'agent_random']","[18, 17, 13, 4]"
"['agent_HungThom', 'Trang9PM_1905', 'agent_random', 'phi']","[16, 10, 6, 4]"
"['agent_HungThom', 'Trangold', 'agent_random', 'phi']","[20, 13, 5, 3]"
"['Viet_Anh', 'agent_HungThom', 'phi', 'agent_random']","[20, 13, 8, 7]"
"['agent_HungThom', 'Trangold', 'Trang9PM_1905', 'agent_random']","[19, 11, 9, 2]"
"['agent_HungThom', 'Viet_Anh', 'Trang9PM_1905', 'agent_random']","[15, 13, 5, 4]"
"['agent_HungThom', 'Trangold', 'Viet_Anh', 'agent_random']","[15, 10, 9, 0]"
"['agent_xung', 'agent_TongMinh', 'agent_HungThom', 'agent_Thu_Trang']","[21, 13, 12, 11]"
